'level1';'level2';'level3';'filter0';'filter1';'filter3';'Data[1]';'Data[2]';'Data[3]';'Data[9]';'Data[4]';'Data[6]';'Data[7]';'Data[8]';'Data[5]'
- โถส้วมนั่ง 4  ชุด
-  ปูพื้นกระเบื้อง 180  ตร.ม
-  เปลี่ยนโครงหลังคาเหล็กรีดลอน 380 ตร.ม';'46010056';'นายสมานเหมกุล';'047435393';'016013043';;
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'บึงวิชัย';'512250';'500000';'บึงวิชัยสงเคราะห์';'น้ำไหลท่วมโรงเรียน ถนนในโรงเรียนเสียหาย';'1 แห่ง';'1.  ถนนคอนกรีตเสริมเหล็ก';'46010022';'นายประสบตรีทศ';'043890113';;;
'กาฬสินธุ์';'กมลาไสย';'กมลาไสย';'881070';'860000';'โปโลเล้าสามัคคีวิทยา';'น้ำไหลท่วมโรงเรียน อาคารเรียน  อาคารอเนกประสงค์ ถนนเสียหาย';'1 หลัง  1 แห่ง';'1.  ปรับปรุงซ่อมแซมอาคารเรียน สปช.105/29 -  เปลี่ยนบานประตู  12  บาน -  ปูพื้นกระเบื้อง 12 x 12   290  ตร.ม2.  อาคารเอนกประสงค์ -  แผ่นเหล็กรีดลอน  180  ตร.ม3.  ถนนคอนกรีตเสริมเหล็ก';'46010075';'นายเพิ่มพูนผ่านสำแดง';'043830148';'043890031';;
'กาฬสินธุ์';'สหัสขันธ์';'นิคม';'497907';'486000';'คำประถมนิคมสงเคราะห์';'น้ำไหลท่วมโรงเรียน อาคารเรียน เสียหาย';'1 หลัง';'1.  ปรับปรุงซ่อมแซมอาคารเรียน แบบกรมประชาสงเคราะห์
 -  เปลี่ยนโครงหลังคาสังกะสี  272  ฟุต
 -  บานประตูไม้อัด  4  บาน
 -  บานประตูหน้าต่าง  44  บาน
 -  ทาสี  550  ตร.ม';'46010130';'นายณรงค์ราชภักดี';'043890196';;;
'กาฬสินธุ์';'กิ่งอำเภอนาคู';'สายนาวัง';'566241';'552700';'บ้านหนองขามป้อม';'น้ำไหลเข้าท่วมโรงเรียน ทำให้ถนนภายในโรงเรียนได้รับความเสียหาย';'1 แห่ง';'1. ก่อสร้างถนนคอนกรีตเสริมเหล็ก';'46030203';'นายประภาส  ละราคี';;;;
'กาฬสินธุ์';'คำม่วง';'เนินยาง';'1465035';'1430000';'สูงเนินวิทยาคม';'น้ำท่วมโรงเรียน อาคารโรงฝึกงาน ถนน สนามโรงเรียน เสียหาย';'1 หลัง  1 แห่ง';'1. ปรับปรุงซ่อมแซมอาคารโรงฝึกงานแบบ 312  2. ปรับปรุงซ่อมแซมถนนคอนกรีตเสริมเหล็ก  3. ปรับปรุงซ่อมแซมสนามกีฬา';'46030117';'นายชนินทร์คะอังกุ';'0819745561';;;
'กาฬสินธุ์';'คำม่วง';'เนินยาง';'1157685';'1130000';'ชุมชนหนองยางวิทยาคม';'น้ำท่วมโรงเรียน พื้นอาคารเรียน ถนนเสียหาย';'1 แห่ง';'1. ปรับปรุง ถมดินสนามกีฬาฟุตบอล  2. ปรับปรุงถนนคอนกรีตเสริมเหล็กภายในบริเวณโรงเรียน    ';'46030114';'นายบรรจงหงษ์ชูตา';'043128169';;;
'กาฬสินธุ์';'กุฉินารายณ์';'เหล่าไฮงาม';'574642';'560900';'บ้านหนองเม็ก';'น้ำท่วมโรงเรียน ทำให้อาคารเรียน ถนนและสนาม ได้รับความเสียหาย';'1 หลัง  1 แห่ง';'1. ก่อสร้างถนนคอนกรีตเสริมเหล็ก
2. ถมดินใต้ถุนอาคารเรียน
3. ถมดินสนามกีฬา';'46030076';'นายสัมพันธ์  ปัตลา';;;;
'กาฬสินธุ์';'นามน';'สงเปลือย';'470041';'458800';'สงเปลือยวิทยายน';'น้ำไหลเข้าท่วมโรงเรียน ทำให้พื้นอาคารเรียน ถนนและร่องระบายน้ำได้รับความเสียหาย';'1 หลัง  1 แห่ง';'1. ถมดินใต้ถุนอาคารเรียน 2. เทพื้นคอนกรีตใต้อาคารเรียน  3. ก่อสร้างร่องระบายน้ำ';'46030011';'นายสิทธิพรไกยเดช';;;;
'กาฬสินธุ์';'ยางตลาด';'ดอนสมบูรณ์';'566241';'552700';'บ้านหนองขามป้อม';'น้ำไหลเข้าท่วมโรงเรียน ทำให้ถนนภายในโรงเรียนได้รับความเสียหาย';'1 แห่ง';'1. ก่อสร้างถนนคอนกรีตเสริมเหล็ก';'46020012';'นางกชภรณ์เนื่องโสม';'043890296';'087950360';;
'ขอนแก่น';'หนองเรือ';'กุดกว้าง';'3404414';'3323000';'บ้านกุดกว้างประชาสรรค์';'น้ำไหลท่วมโรงเรียน สนามบาสเกตบอล สนามฟุตบอล สนามวอลเลย์บอล รั้ว โรงเรียน เสียหาย ';'1 แห่ง';'งานถมดินสนามบาสเก็ตบอล วอลเลย์บอลฟุตบอล ซ่อมแซมรั้ว ความยาว 760 ม.';'40050008';'นายสุวัต  พรามโพล';'043260679';'079465968';;
